Zona;Estación;Acceso de Estación;Mes;INTERVALO;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31;Total general
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;0:00;6;0;10;29;7;11;0;18;22;19;13;12;1;7;16;18;15;42;19;0;10;6;12;12;24;26;2;2;5;10;18;392
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;0:15;10;0;6;7;2;2;0;4;2;2;17;0;1;13;9;9;8;1;3;2;3;7;8;2;7;1;0;10;9;4;3;152
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;0:30;7;0;1;0;8;5;0;0;1;0;0;5;0;0;0;0;2;1;2;8;1;6;0;3;4;12;0;0;0;0;1;67
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;0:45;3;1;0;0;0;3;0;2;0;1;1;3;0;0;0;0;0;0;0;12;1;0;1;0;0;0;1;0;0;0;1;30
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;3:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;3:15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;1;0;0;7
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;3:30;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;3:45;1;6;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;13
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;4:00;0;1;0;0;0;0;1;2;5;1;0;0;1;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;16
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;4:15;0;4;3;2;2;1;5;8;2;5;1;0;7;1;2;4;4;1;0;9;2;3;5;2;4;0;5;3;5;4;3;97
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;4:30;0;1;3;0;0;1;2;8;4;5;0;0;2;5;7;8;6;0;0;15;7;8;7;5;0;2;4;4;8;6;3;121
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;4:45;0;4;14;0;0;2;6;6;4;4;4;0;24;8;10;5;19;0;0;16;7;6;10;10;4;0;9;8;10;10;8;208
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;5:00;1;24;24;8;4;4;42;50;52;41;7;1;29;46;44;40;29;10;0;48;66;60;56;47;14;0;64;57;53;45;45;1.011
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;5:15;5;58;87;19;4;16;60;66;52;82;15;3;88;70;73;82;71;29;8;98;105;54;66;55;28;7;48;82;60;93;118;1.702
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;5:30;5;96;77;38;8;27;143;163;139;110;85;9;138;194;178;197;182;29;8;161;144;151;190;192;63;6;170;112;203;142;104;3.464
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;5:45;4;134;90;80;9;8;168;126;161;167;78;12;182;157;175;155;159;81;9;199;206;211;146;164;64;9;189;230;131;183;173;3.860
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;6:00;4;179;196;111;16;21;218;182;214;208;171;2;218;188;169;183;190;184;19;150;135;176;228;156;131;12;177;213;281;257;199;4.788
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;6:15;10;194;244;175;15;10;321;341;280;244;203;39;280;363;387;356;313;224;21;360;418;377;345;425;196;37;353;383;331;292;336;7.873
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;6:30;48;341;297;222;68;79;437;396;402;467;259;37;523;385;384;337;351;294;55;519;438;452;438;380;325;62;512;530;413;489;523;10.463
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;6:45;28;333;321;173;62;68;515;501;515;427;220;58;489;586;508;539;609;271;60;527;620;447;561;510;313;73;540;522;593;513;481;11.983
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;7:00;48;304;348;165;42;64;437;454;334;291;198;80;462;388;381;503;322;251;81;432;305;414;364;499;217;58;456;387;469;429;431;9.614
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;7:15;55;287;329;156;51;42;468;367;472;519;238;64;411;439;469;355;531;257;88;490;284;307;498;391;324;72;449;386;392;417;481;10.089
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;7:30;55;288;343;208;40;69;338;410;391;390;329;60;457;432;384;383;409;354;45;375;406;510;490;487;323;73;339;430;464;438;458;10.178
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;7:45;43;307;276;243;65;87;349;329;338;424;339;55;426;349;428;499;376;242;40;525;356;399;349;397;252;80;540;333;487;465;402;9.800
(11) Zona K Calle 26;(06000) Portal Eldorado;(01) PLAT2 ALIM-DESAL FONTIBÓN/FONTIBÓN CENTRO/VILLEMAR/CALIHAYUELOS/LAESTANCIA/ZONA FRANCA/BELÉN-TC6;Enero;8:00;48;180;201;147;61;62;285;316;328;297;226;81;304;335;330;320;364;213;76;242;222;322;350;337;260;71;348;378;337;333;287;7.661
